"Animal
No",Date,Sex,Age,Repro,Season,dens,hab,veg,FAA_index_I,FAA_index_II,StrongyEPG,CryptoEPG,AscaridEPG,AnoploEPG,FGM,rawash,ndf,adf,adl,cellul,hemic,energy,N,Prot,Ca,Cu,Fe,K,Mg,Mn,Mo,Na,P,S,Zn
049,2/7/2016,f,mat,lact,w,1,sgp,g,FLD0230,FLD0277,625,50,175,50,201.80,35.4,46.1,23.2,7.7,15.5,23.0,13.8,1.16,7.27,8615,16.1,2757,26739,2421,186.6,10.9,294,9158,1838,65.8
050,2/7/2016,f,mat,u,w,1,sgp,g,FLD0172,FLD0286,1225,0,75,25,244.40,36.1,51.8,26.4,8.8,17.6,25.4,14.6,1.24,7.73,8183,24.9,15520,19317,3390,640.5,6.0,1141,7413,1885,110.7
051,2/7/2016,f,mat,u,w,1,sgp,g,FLD0285,FLD0255,1150,0,0,50,136.30,34.1,51.1,27.0,8.2,18.8,24.1,14.8,1.22,7.64,5909,22.8,11108,28456,2439,511.6,6.0,1200,7394,1744,96.3
052,2/10/2016,f,mat,u,w,1,sgp,g,FLD0284,FLD0204,575,0,0,0,233.50,25.3,48.6,26.1,6.3,19.8,22.5,16.0,1.31,8.17,5150,20.4,7065,27669,2127,364.5,4.9,1516,8642,1666,85.6
053,2/10/2016,m,mat,h,w,1,sgp,g,FLD0269,FLD0325,550,75,275,50,120.20,24.8,55.2,29.4,7.2,22.2,25.8,14.4,1.50,9.39,8254,16.2,3419,29430,2732,230.9,10.7,327,9241,3852,73.4
054,2/10/2016,m,mat,b,w,1,sgp,g,FLD0347,FLD0189,1025,75,0,50,153.90,25.7,52.4,28.9,7.6,21.3,23.5,16.6,1.48,9.23,8526,17.3,3817,24235,2801,243.6,10.4,123,9659,2042,73.4
055,2/10/2016,f,mat,u,w,1,sgp,g,FLD0121,FLD0154,1025,0,225,0,461.00,24.1,52.1,28.6,6.1,22.5,23.5,16.9,1.44,9.00,8203,16.4,2660,27220,2824,183.4,11.9,506,9571,1634,63.8
056,2/11/2016,m,mat,b,w,1,sgp,g,FLD0289,FLD0133,3800,0,0,25,156.20,27.2,48.9,26.5,7.1,19.4,22.5,16.4,1.36,8.51,7939,19.3,2784,32372,3713,207.3,10.9,245,10736,2042,68.5
057,2/11/2016,m,mat,b,w,1,sgp,g,FLD0363,FLD0223,1625,25,0,100,109.50,24.0,52.6,29.6,6.6,23.0,23.0,16.7,1.42,8.88,6648,8.6,2003,26248,3074,174.6,12.6,85,9241,1537,71.2
058,2/11/2016,m,mat,b,w,1,sgp,g,FLD0190,FLD0268,1650,75,0,0,214.40,24.1,53.3,29.2,7.4,21.8,24.1,17.1,1.44,8.97,7323,14.9,2038,25540,3273,188.3,13.3,130,9738,3533,84.4
059,2/11/2016,f,mat,preg,w,1,sgp,g,FLD0298,FLD0375,1775,50,175,0,124.90,28.5,48.6,24.8,5.4,19.4,23.8,15.8,1.20,7.52,6449,18.6,4448,32404,2613,259.8,12.2,801,9727,1660,75.0
060,2/11/2016,m,mat,b,w,1,sgp,g,FLD0288,FLD0116,1400,25,0,50,157.50,25.2,54.8,30.5,7.3,23.2,24.3,16.8,1.49,9.30,8589,14.9,2716,26187,2742,189.2,11.3,151,9303,4536,67.7
061,2/11/2016,f,mat,preg,w,1,sgp,g,FLD0208,FLD0263,1675,0,25,0,182.50,28.8,46.0,22.8,4.1,18.8,23.2,15.8,1.15,7.19,5934,15.7,4526,25846,2074,241.3,10.9,685,9630,1729,69.0
062,2/11/2016,f,mat,u,w,1,sgp,g,FLD0338,FLD0138,250,25,50,0,125.20,25.5,51.0,27.2,7.6,19.6,23.8,,2.35,14.70,,,,,,,,,,,
063,2/11/2016,m,mat,b,w,1,sgp,g,FLD0370,FLD0185,1275,0,50,100,219.80,24.7,53.6,29.2,7.2,22.0,24.4,17.2,1.38,8.63,6552,15.6,2531,23149,2302,187.8,11.6,304,8252,2060,63.1
064,2/11/2016,m,mat,b,w,1,sgp,g,FLD0125,FLD0326,800,0,0,0,199.70,27.7,52.9,27.5,6.9,20.6,25.5,15.8,1.45,9.06,7761,16.5,5241,23492,2470,297.3,9.0,320,9444,1933,77.0
65,2/11/2016,?,fl,,w,1,sgp,g,FLD0324,FLD0144,,,,,139.90,25.8,51.5,28.7,7.1,21.7,22.7,16.6,1.34,8.34,7781,18.4,2559,21013,2429,200.2,13.9,2111,8627,1697,80.9
066,2/11/2016,m,mat,h,w,1,sgp,g,FLD0165,FLD0131,1200,0,0,75,243.90,24.6,56.6,31.3,7.2,24.1,25.3,16.6,1.41,8.80,6650,16.1,3174,22951,2204,223.0,9.1,1760,9188,1746,72.0
067,2/13/2016,m,mat,h,w,1,sgp,g,FLD0227,FLD0100,600,0,0,0,200.60,22.4,50.5,26.2,6.5,19.7,24.4,18.0,1.98,12.39,8271,16.1,2012,22492,2452,160.6,10.4,,8564,2380,72.9
068,2/13/2016,f,mat,preg,w,1,sgp,g,FLD0161,FLD0294,1775,225,225,0,145.40,24.9,42.2,22.7,4.9,17.7,19.6,16.8,1.73,10.83,9183,15.3,3164,22276,2334,199.2,9.9,407,9595,2160,64.0
069,2/13/2016,m,juv,,w,1,sgp,g,FLD0308,FLD0240,2825,225,250,0,150.50,27.0,53.0,29.1,8.1,21.0,23.9,16.3,1.52,9.51,7319,17.8,4409,22061,2871,270.6,11.1,237,9334,2159,87.2
070,2/13/2016,m,mat,b,w,1,sgp,g,FLD0214,FLD0236,2850,0,0,3300,144.90,26.2,51.6,28.0,7.8,20.2,23.6,16.6,1.44,8.99,6737,18.5,4097,23242,2840,255.1,10.7,254,9430,2183,87.0
071,2/15/2016,m,mat,b,w,1,sgp,g,FLD0228,FLD0238,1225,0,0,0,275.90,30.0,56.9,29.0,9.5,19.5,27.9,15.3,1.12,7.02,7694,20.0,8242,26568,2683,436.6,7.0,647,7444,2491,87.5
072,2/15/2016,f,mat,lact,w,1,sgp,g,FLD0267,FLD0141,1525,0,0,0,240.80,27.4,48.3,25.7,6.4,19.2,22.6,16.5,1.61,10.05,7806,17.8,5133,29632,2662,339.5,9.0,673,8959,1946,96.6
073,2/15/2016,m,mat,b,w,1,sgp,g,FLD0101,FLD0228,1400,75,200,0,252.50,20.2,56.2,32.2,6.7,25.4,24.0,17.8,1.54,9.60,5886,17.8,873,22667,2289,127.5,12.7,126,8133,1953,57.2
074,2/15/2016,m,mat,b,w,1,sgp,g,FLD0201,FLD0187,4475,0,75,0,167.70,33.0,50.5,26.0,8.0,18.0,24.5,15.4,1.43,8.92,8027,22.6,8674,26203,3480,480.5,10.4,763,8951,13481,106.6
075,2/15/2016,m,mat,b,w,1,sgp,g,FLD0177,FLD0314,2125,0,0,0,314.60,23.4,54.6,29.0,6.6,22.3,25.6,16.9,1.44,9.00,8431,22.4,3108,20034,2678,202.7,8.6,584,8980,1978,74.6
076,2/16/2016,f,mat,lact,w,2,sgp,g,FLD0222,FLD0297,1575,400,25,0,156.20,25.7,55.4,28.2,7.6,20.7,27.2,16.2,1.30,8.15,6944,15.1,6080,24647,2830,351.1,9.9,1105,7315,1604,87.2
077,2/16/2016,m,mat,h,w,2,sgp,g,FLD0292,FLD0281,550,25,100,0,231.30,30.5,53.0,27.9,9.4,18.4,25.1,16.0,1.38,8.62,5580,25.2,8918,25572,2882,432.8,5.2,1586,8997,3270,99.8
078,2/16/2016,?,sa,,w,2,sgp,g,FLD0097,FLD0271,1400,50,375,0,280.30,25.8,50.7,25.7,8.1,17.6,25.0,17.7,1.60,10.01,4868,30.7,4932,19658,2650,389.3,7.9,807,7554,2635,84.8
079,2/18/2016,f,mat,lact,w,2,sgp,g,FLD0356,FLD0152,1425,0,0,0,221.50,27.9,52.5,25.2,5.9,19.3,27.3,15.8,1.16,7.27,6198,23.6,6278,25700,2558,346.7,5.4,691,8270,1744,90.0
080,2/18/2016,f,mat,lact,w,2,sgp,g,FLD0293,FLD0249,1400,25,75,0,121.10,24.9,57.8,30.3,8.0,22.3,27.5,,1.36,8.48,6150,18.6,6554,24999,2315,329.4,5.8,1206,7577,2316,90.4
081,2/18/2016,f,mat,u,w,2,sgp,g,FLD0184,FLD0252,1750,0,0,0,131.20,26.2,53.9,27.6,7.5,20.0,26.4,16.0,1.25,7.80,6564,21.0,6384,18979,2950,342.4,9.2,907,8036,2207,90.6
082,2/18/2016,f,mat,u,w,2,sgp,g,FLD0110,FLD0272,1300,0,0,0,115.00,35.9,51.1,26.2,8.0,18.2,24.9,14.0,1.28,8.01,8929,23.4,11707,25826,3931,565.8,6.5,1727,9385,2353,109.2
085,2/21/2016,?,juv,,w,2,sgp,g,FLD0314,FLD0151,1550,0,100,0,159.00,30.5,50.5,25.9,7.1,18.8,24.6,15.2,1.14,7.13,6264,21.8,8870,25839,3392,435.0,3.2,536,9203,2107,101.9
086,2/21/2016,?,sa,,w,1,sgp,g,FLD0105,FLD0207,3225,0,0,25,303.00,28.0,55.4,28.9,7.8,21.0,26.6,16.0,1.22,7.66,5222,20.7,7164,28057,2157,369.6,5.0,1538,8764,1689,86.8
087,2/21/2016,m,mat,h,w,1,sgp,g,FLD0154,FLD0161,1100,0,75,0,454.30,30.0,54.5,28.4,8.1,20.3,26.1,15.5,1.29,8.05,6108,22.8,7129,23427,2878,369.2,5.1,992,9621,1827,89.8
088,2/21/2016,m,mat,b,w,2,sgp,g,FLD0149,FLD0181,1075,0,75,0,290.70,28.8,53.9,27.4,7.2,20.1,26.5,15.8,1.30,8.12,7248,19.9,9011,23708,3083,413.6,5.2,740,10051,2010,102.4
089,2/21/2016,f,mat,lact,w,2,sgp,g,FLD0103,FLD0214,1875,50,25,0,155.30,28.0,55.1,29.0,8.7,20.3,26.0,15.1,1.08,6.77,6665,19.4,11535,23800,2998,505.5,4.1,633,7348,2564,101.9
090,2/21/2016,f,mat,lact,w,3,sgp,g,FLD0139,FLD0239,1725,0,75,0,153.10,30.3,60.5,31.4,9.3,22.1,29.1,,1.04,6.49,,,,,,,,,,,
091,2/24/2016,f,mat,lact,w,1,sgp,g,FLD0254,FLD0333,1525,0,100,0,323.70,23.4,57.7,30.6,7.5,23.1,27.1,16.6,1.32,8.23,8409,24.6,6605,23432,3546,376.4,5.8,3761,11125,2174,93.4
092,2/24/2016,m,mat,h,w,1,sgp,g,FLD0240,FLD0366,825,0,0,0,148.10,28.9,59.3,30.5,8.8,21.7,28.8,18.4,1.57,9.83,,,,,,,,,,,
093,2/26/2016,m,mat,h,w,2,sgp,g,FLD0140,FLD0142,775,0,75,0,158.60,26.2,52.0,25.9,6.5,19.4,26.1,16.2,1.23,7.68,5642,18.0,5909,23553,2060,296.6,4.2,1556,8977,1954,82.5
94,2/26/2016,?,fl,,w,2,sgp,g,FLD0183,FLD0280,,,,,120.80,,,,,,,,,,,,,,,,,,,,
095,2/26/2016,f,mat,lact,w,2,sgp,g,FLD0111,FLD0334,1725,0,100,0,125.70,27.6,51.3,27.0,7.6,19.4,24.4,16.1,1.28,8.00,6439,19.7,6518,26031,2809,332.0,4.3,903,8221,1940,83.8
096,2/26/2016,f,mat,lact,w,2,sgp,g,FLD0261,FLD0186,775,0,225,0,87.70,26.7,54.4,28.1,8.3,19.8,26.2,16.4,1.44,9.03,5103,20.5,6774,22887,3072,351.7,4.8,1440,7483,2893,80.5
097,2/28/2016,f,mat,lact,w,2,sgp,g,FLD0323,FLD0373,650,0,0,0,142.50,31.1,52.9,26.5,7.9,18.6,26.3,15.0,1.18,7.34,8784,23.0,11141,24428,3583,536.2,5.2,1111,8393,1907,103.3
098,2/28/2016,?,juv,,w,2,sgp,g,FLD0361,FLD0120,825,75,0,0,146.20,28.4,52.1,26.2,6.8,19.4,25.9,15.7,1.43,8.95,4412,13.0,8319,23327,3174,418.6,4.8,657,6497,1623,88.8
102,3/5/2016,?,sa,,w,3,lg,d,FLD0377,FLD0335,2500,0,0,0,215.80,18.7,57.3,28.4,6.8,21.5,28.9,17.8,1.33,8.29,9896,10.4,1518,15269,3925,165.8,5.8,1154,9499,2152,57.1
103,3/5/2016,f,mat,u,d,3,lg,d,FLD0192,FLD0350,2500,100,150,0,178.60,18.1,59.1,31.2,7.2,24.0,27.8,17.8,1.21,7.56,8937,12.0,1239,14145,3090,166.3,4.4,2750,7998,2220,55.1
104,3/5/2016,m,mat,b,d,1,lg,d,FLD0109,FLD0156,1975,0,150,0,261.80,17.3,60.9,33.9,6.9,27.0,27.0,17.6,1.25,7.83,9699,12.3,1002,13490,3404,152.1,4.6,1936,9011,1969,54.6
105,3/5/2016,m,mat,b,d,1,lg,d,FLD0115,FLD0290,1375,0,50,0,251.20,18.1,60.5,34.2,7.3,26.9,26.4,17.4,1.28,8.01,10104,12.1,1031,14239,3720,148.2,4.6,1437,9431,2058,52.0
106,3/5/2016,m,mat,b,d,1,lg,d,FLD0217,FLD0122,2425,25,0,0,247.90,20.5,53.9,29.4,8.0,21.4,24.4,17.3,1.46,9.10,12311,14.9,2651,11774,4424,231.9,4.4,1210,10680,2042,70.4
107,3/5/2016,m,mat,b,d,3,lg,d,FLD0128,FLD0283,3125,175,75,0,166.70,20.5,55.3,30.4,7.2,23.2,24.9,17.0,1.32,8.26,11852,24.3,2862,10912,4224,224.5,4.3,932,9917,1858,66.1
108,3/5/2016,m,mat,b,d,2,lg,d,FLD0237,FLD0305,950,50,0,25,220.90,17.7,60.1,33.0,8.1,25.0,27.1,18.0,1.37,8.59,9587,10.9,1227,9880,3473,137.0,3.6,2619,8128,1796,48.8
109,3/6/2016,f,mat,u,d,1,lg,d,FLD0362,FLD0123,1150,0,25,0,310.80,23.5,53.5,30.7,6.7,24.0,22.8,16.8,1.23,7.70,14912,13.5,1780,13710,3922,167.3,5.4,581,10968,2106,44.5
110,3/6/2016,f,mat,u,d,3,lg,d,FLD0330,FLD0118,600,0,0,0,152.20,18.1,58.3,31.3,6.9,24.4,27.0,17.8,1.85,11.59,7788,22.8,1468,17748,3738,163.9,5.9,1734,7902,2174,53.3
111,3/6/2016,m,sa,,d,3,lg,d,FLD0124,FLD0318,1400,0,0,0,166.50,22.5,57.1,33.1,6.5,26.6,24.1,16.5,1.38,8.65,9587,18.1,3384,15645,4880,256.1,4.8,983,10007,2500,88.1
112,3/6/2016,m,mat,h,d,2,lg,d,FLD0243,FLD0279,1275,0,0,0,293.80,19.6,60.6,35.2,7.4,27.8,25.4,17.4,1.14,7.10,14043,11.1,743,12986,3512,126.4,5.3,1553,10101,2163,54.3
113,3/6/2016,m,mat,h,d,2,lg,d,FLD0259,FLD0143,1600,50,0,0,235.40,21.1,55.3,31.0,6.6,24.4,24.3,17.2,1.26,7.87,8311,14.4,1976,19326,3583,188.1,7.2,854,9640,2086,47.2
114,3/6/2016,f,mat,u,d,3,lg,d,FLD0272,FLD0224,1100,0,0,0,141.20,21.9,54.7,30.9,6.2,24.7,23.9,17.0,1.56,9.78,9424,12.2,1534,16309,5055,180.9,9.1,491,10978,2385,50.1
116,2016-03-06,f,mat,lact,d,3,lg,d,FLD0107,FLD0198,1450,75,0,0,355.80,21.7,54.8,30.6,6.6,24.1,24.2,17.2,1.49,9.29,9459,12.1,1569,17735,4475,229.0,8.7,225,10113,2583,77.6
117,3/7/2016,f,sa,,d,1,lg,d,FLD0234,FLD0137,3175,0,100,50,243.00,24.3,44.6,25.8,5.2,20.7,18.7,17.1,2.10,13.11,11140,12.4,1206,13543,3268,280.4,7.9,3184,11647,2775,118.4
121,3/8/2016,f,mat,preg,d,1,lg,d,FLD0263,FLD0359,625,0,100,0,262.30,23.1,55.1,29.7,6.2,23.5,25.4,16.8,1.20,7.52,10061,14.9,2009,15660,3559,170.6,10.3,424,11653,2027,65.2
122,3/8/2016,f,mat,lact,d,2,lg,d,FLD0138,FLD0162,775,0,0,0,210.70,21.0,51.4,27.5,6.0,21.4,23.9,17.0,1.70,10.60,8704,8.5,2107,14980,2895,168.8,13.2,1734,8881,2165,47.0
123,3/8/2016,f,mat,preg,d,2,lg,d,FLD0262,FLD0218,625,0,25,0,241.50,22.7,56.3,30.2,6.4,23.8,26.1,16.7,1.13,7.08,9407,13.7,1814,14079,3064,151.2,9.3,828,10059,1723,57.0
124,3/9/2016,f,mat,u,d,3,lg,d,FLD0232,FLD0226,250,0,0,0,130.00,23.4,52.3,27.8,6.1,21.8,24.5,17.6,1.85,11.59,8755,12.6,3286,21862,2951,226.6,11.3,1455,11044,3005,71.1
127,6/3/2016,m,mat,h,w,1,lg,m,FLD0245,FLD0313,700,50,0,0,180.60,,,,,,,,,,,,,,,,,,,,
128,6/3/2016,f,sa,,w,1,lg,m,FLD0337,FLD0357,1250,25,0,0,162.75,20.71,58.79,31.73,7.01,24.72,27.06,17.19,1.04,6.48,,,,,,,,,,,
129,6/3/2016,m,mat,b,w,1,lg,m,FLD0379,FLD0332,575,25,0,0,130.55,22.33,58.90,30.76,7.96,22.79,28.14,16.76,1.63,10.18,,,,,,,,,,,
130,6/3/2016,f,mat,preg,w,1,lg,m,FLD0129,FLD0110,1100,25,0,0,164.20,20.15,62.89,33.46,7.33,26.13,29.43,17.13,1.49,9.33,,,,,,,,,,,
131,6/4/2016,f,mat,u,w,1,lg,m,FLD0280,FLD0117,1200,150,0,0,145.05,18.07,61.19,34.72,7.45,27.27,26.46,17.50,1.16,7.30,,,,,,,,,,,
132,6/4/2016,f,mat,u,w,3,lg,m,FLD0135,FLD0139,650,0,0,0,105.50,21.23,58.34,30.44,7.42,23.02,27.90,17.22,1.60,9.98,,,,,,,,,,,
133,6/4/2016,m,sa,,w,1,lg,m,FLD0207,FLD0343,1900,75,0,0,160.80,21.21,55.14,29.62,7.30,22.33,25.52,17.41,1.60,10.04,,,,,,,,,,,
134,6/4/2016,f,mat,preg,w,1,lg,m,FLD0318,FLD0274,2975,0,0,0,152.20,23.08,56.85,30.63,7.15,23.48,26.22,17.08,1.10,6.89,,,,,,,,,,,
135,6/4/2016,m,mat,h,w,1,lg,m,FLD0212,FLD0229,3075,0,0,0,247.30,20.52,58.66,33.28,8.01,25.26,25.38,17.47,1.12,6.90,,,,,,,,,,,
136,6/5/2016,m,mat,h,w,2,lg,m,FLD0251,FLD0114,2050,25,0,0,259.55,22.42,56.54,30.26,7.60,22.66,26.28,16.74,1.34,8.36,,,,,,,,,,,
137,6/5/2016,m,mat,h,w,2,lg,m,FLD0204,FLD0258,950,0,0,0,157.95,19.94,62.27,33.89,8.46,25.43,28.38,17.25,1.20,7.54,,,,,,,,,,,
138,6/5/2016,f,mat,u,w,1,lg,m,FLD0310,FLD0150,1350,0,0,0,136.90,21.33,59.86,33.47,8.02,25.45,26.39,17.06,1.17,7.52,,,,,,,,,,,
139,6/5/2016,f,mat,lact,w,1,lg,m,FLD0268,FLD0127,2325,75,0,0,137.45,17.02,64.89,35.94,9.49,26.45,28.95,17.87,1.11,6.96,,,,,,,,,,,
140,6/5/2016,f,mat,lact,w,1,lg,m,FLD0369,FLD0158,1600,75,0,0,174.70,19.15,63.91,34.61,7.76,26.85,29.30,17.59,1.10,6.83,,,,,,,,,,,
141,6/9/2016,f,mat,u,w,1,lg,m,FLD0195,FLD0309,1250,50,100,0,140.35,18.52,60.48,33.64,8.92,24.72,26.85,17.92,1.59,9.94,,,,,,,,,,,
142,6/9/2016,m,mat,h,w,2,lg,m,FLD0137,FLD0273,1925,0,0,0,156.55,19.79,65.60,35.95,8.12,27.83,29.65,17.31,0.99,6.15,,,,,,,,,,,
143,6/9/2016,m,mat,b,w,3,lg,m,FLD0118,FLD0159,2525,25,0,175,84.60,23.43,58.81,31.45,6.19,25.26,27.36,16.33,1.09,6.82,,,,,,,,,,,
144,6/9/2016,m,mat,h,w,1,lg,m,FLD0112,FLD0342,700,0,675,0,147.00,21.99,61.83,34.13,8.36,25.77,27.70,16.94,0.99,6.20,,,,,,,,,,,
145,6/10/2016,m,mat,h,w,3,lg,m,FLD0225,FLD0251,2200,100,0,0,185.50,15.99,66.42,34.30,7.33,26.97,32.12,18.36,1.00,6.24,,,,,,,,,,,
146,6/10/2016,f,sa,,w,3,lg,m,FLD0306,FLD0288,3275,50,0,0,141.30,18.05,64.56,33.98,7.60,26.38,30.58,17.60,1.01,6.33,,,,,,,,,,,
148,6/11/2016,m,mat,h,w,1,lg,m,FLD0303,FLD0166,1675,50,0,0,168.80,22.62,61.95,32.59,6.97,25.62,29.36,16.83,1.18,7.38,,,,,,,,,,,
149,6/11/2016,f,mat,u,w,1,lg,m,FLD0378,FLD0298,1625,50,0,25,188.90,19.79,60.69,33.22,7.54,25.67,27.47,17.19,1.08,6.76,,,,,,,,,,,
150,6/14/2016,f,mat,lact,w,1,lg,m,FLD0166,FLD0195,725,50,0,75,204.65,20.44,57.37,29.76,6.64,23.12,27.60,17.95,1.21,7.58,,,,,,,,,,,
151,6/14/2016,m,mat,h,w,1,lg,m,FLD0194,FLD0173,900,0,0,0,242.40,15.02,66.22,34.27,7.25,27.02,31.94,18.38,1.10,6.91,,,,,,,,,,,
152,6/14/2016,f,mat,lact,w,1,lg,m,FLD0167,FLD0178,1800,0,0,0,181.15,17.27,65.23,36.01,8.99,27.02,29.22,17.77,1.15,7.20,,,,,,,,,,,
153,6/14/2016,f,mat,u,w,1,lg,m,FLD0274,FLD0368,2025,100,0,0,135.65,17.78,69.08,37.72,9.11,28.61,31.36,17.54,1.01,6.32,,,,,,,,,,,
154,6/16/2016,?,juv,,w,1,lg,m,FLD0241,FLD0234,175,25,0,0,149.65,19.90,60.39,32.23,7.31,24.92,28.16,17.39,1.09,6.78,,,,,,,,,,,
155,6/16/2016,f,mat,u,w,1,lg,m,FLD0102,FLD0163,100,25,0,0,197.60,19.60,65.67,36.44,8.80,27.64,29.23,17.38,1.01,6.35,,,,,,,,,,,
156,6/16/2016,m,mat,b,w,1,lg,m,FLD0266,FLD0172,700,25,0,0,302.50,17.38,65.68,36.50,9.23,27.27,29.18,17.79,0.98,6.13,,,,,,,,,,,
