"Animal
No",Date,Sex,Age,Repro,Season,dens,hab,veg,FAA_index_I,FAA_index_II,StrongyEPG,CryptoEPG,AscaridEPG,AnoploEPG,FGM,rawash,ndf,adf,adl,cellul,hemic,energy,N,Prot,Ca,Cu,Fe,K,Mg,Mn,Mo,Na,P,S,Zn
026,1/31/2016,m,mat,h,w,1,sgp,g,FLD0341,FLD0193,825,50,150,50,213.20,29.6,54.4,28.2,8.8,19.4,26.1,14.6,1.32,8.23,7894,21.9,11810,20821,3074,571.5,2.2,544,7774,1999,108.3
027,1/31/2016,f,mat,preg,w,1,sgp,g,FLD0335,FLD0109,275,0,0,0,241.80,29.0,47.2,23.6,7.3,16.3,23.7,16.5,1.91,11.96,6950,24.0,8867,27858,3261,491.9,2.7,672,9377,4022,112.3
028,1/31/2016,f,mat,preg,w,1,sgp,g,FLD0291,FLD0216,1175,0,0,0,168.70,29.8,49.1,24.4,7.3,17.1,24.7,14.8,1.20,7.49,4986,25.4,10592,20353,2538,524.7,4.1,585,7131,1528,101.9
029,1/31/2016,m,mat,b,w,1,sgp,g,FLD0322,FLD0382,350,0,150,25,216.80,25.2,47.4,24.9,7.6,17.3,22.5,16.6,1.35,8.43,5949,23.1,6614,33395,2718,344.0,5.0,534,8938,2098,84.0
030,1/31/2016,m,mat,b,w,1,sgp,g,FLD0198,FLD0253,875,125,125,0,204.50,32.0,47.5,24.9,8.5,16.4,22.6,15.3,1.46,9.11,7871,23.5,11518,26817,3284,565.2,2.5,367,9164,2105,118.5
031,2/3/2016,?,sa,,w,1,sgp,g,FLD0187,FLD0168,1450,75,175,0,203.70,26.1,48.8,23.7,7.5,16.2,25.0,17.0,1.70,10.62,4320,21.9,5662,25584,3494,363.4,12.5,1310,11037,4264,102.9
032,2/3/2016,m,mat,h,w,1,sgp,g,FLD0199,FLD0358,550,0,200,0,347.00,23.9,48.8,24.3,6.4,17.9,24.5,16.8,1.45,9.04,6394,24.0,5543,33348,2478,322.0,7.9,504,10222,2160,86.1
033,2/3/2016,m,mat,h,w,1,sgp,g,FLD0174,FLD0329,300,0,300,0,301.60,26.1,43.1,23.1,6.0,17.1,19.9,16.4,1.37,8.55,9195,18.6,4654,23168,2854,289.2,9.9,1084,9714,1830,88.3
034,2/3/2016,f,sa,,w,1,sgp,g,FLD0246,FLD0206,575,0,0,0,257.90,26.4,51.8,26.0,7.2,18.8,25.9,16.6,1.36,8.52,4845,20.6,6220,26101,2624,339.1,10.4,635,7453,3424,86.5
035,2/3/2016,f,mat,u,w,1,sgp,g,FLD0104,FLD0319,1400,25,75,150,292.60,27.3,47.3,25.7,6.2,19.5,21.6,16.5,1.35,8.45,6937,17.2,4518,32766,2398,276.2,10.0,213,9904,1513,70.7
036,2/3/2016,m,mat,h,w,1,sgp,g,FLD0345,FLD0289,1300,0,75,0,181.40,28.2,51.6,25.7,7.1,18.6,26.0,16.5,1.37,8.59,6640,20.5,5988,24256,2755,350.5,13.5,152,9009,2241,87.7
037,2/3/2016,?,sa,,w,1,sgp,g,FLD0193,FLD0257,825,100,150,25,278.20,27.0,49.0,26.3,7.4,18.9,22.8,16.2,1.43,8.91,8144,16.3,2640,27025,2804,182.1,11.8,503,9502,1622,63.3
038,2/3/2016,m,mat,h,w,1,sgp,g,FLD0326,FLD0124,1475,50,225,25,189.90,28.8,40.1,18.7,1.5,17.2,21.4,16.5,1.63,10.20,6886,19.1,5901,22150,3236,360.2,12.5,467,9248,2714,88.5
039,2/3/2016,f,mat,preg,w,1,sgp,g,FLD0209,FLD0167,0,25,0,0,195.20,39.8,39.4,19.3,6.8,12.5,20.1,14.2,2.22,13.87,10466,25.3,9919,29857,3317,543.3,7.7,1066,9174,5670,92.2
040,2/3/2016,m,sa,,w,1,sgp,g,FLD0312,FLD0104,1575,0,1625,0,302.50,26.7,46.0,24.2,7.5,16.7,21.7,17.0,1.57,9.82,8596,23.0,4871,19443,2972,334.5,13.3,465,10760,2255,103.0
041,2/3/2016,m,mat,h,w,1,sgp,g,FLD0189,FLD0308,2100,0,475,0,208.30,25.6,43.1,22.8,5.0,17.8,20.2,16.2,1.34,8.41,,,,,,,,,,,
042,2/3/2016,m,mat,h,w,1,sgp,g,FLD0277,FLD0210,1025,50,50,0,240.80,31.3,41.8,21.7,6.2,15.4,20.1,15.7,1.76,10.99,9826,24.0,7257,26723,3320,433.8,10.7,642,10805,2263,97.2
043,2/3/2016,m,mat,b,w,1,sgp,g,FLD0131,FLD0132,750,25,0,0,276.80,29.2,44.8,23.5,6.1,17.4,21.3,15.6,1.28,8.01,10095,27.5,6791,23145,2725,363.8,12.2,444,10941,1700,84.3
044,2/3/2016,f,mat,u,w,1,sgp,g,FLD0146,FLD0285,500,25,0,0,265.00,23.8,53.1,29.0,7.0,22.0,24.0,17.2,1.50,9.39,7615,20.6,2943,31769,2794,194.9,11.5,111,9290,2651,62.0
045,2/3/2016,?,juv,,w,1,sgp,g,FLD0273,FLD0248,675,0,0,0,252.80,24.9,58.7,29.6,8.7,20.9,29.1,17.0,1.32,8.25,5484,22.2,5282,21969,2256,293.0,10.9,759,7701,3490,91.8
046,2/7/2016,f,mat,preg,w,1,sgp,g,FLD0294,FLD0175,850,0,0,75,227.10,28.5,41.3,22.4,6.2,16.2,18.9,16.4,1.44,8.98,7890,21.5,5468,38503,2312,299.6,5.6,1150,9522,2084,82.1
047,2/7/2016,f,mat,lact,w,1,sgp,g,FLD0185,FLD0307,275,0,0,0,181.90,34.4,42.6,20.9,6.2,14.7,21.7,14.5,1.26,7.89,6282,24.5,13186,21603,2501,604.1,4.4,1798,7471,1999,112.3
048,2/7/2016,f,mat,lact,w,1,sgp,g,FLD0270,FLD0376,1175,50,175,25,205.60,37.4,52.9,25.4,8.2,17.2,27.5,13.7,1.18,7.37,8343,23.3,13613,21471,3635,652.6,6.6,3011,7894,1922,110.1
